Meters from cannon,,Pixels from cannon,,,,,Expected,,Residuals
0,1671,0,751,1677,796,,-20.893,,-20.893
1,1426,245,757,1432,789,,243.067,,-1.933
2,1176,495,756,1182,789,,507.027,,12.027
3,919,752,756,925,800,,770.987,,18.987
4,653,1018,754,659,805,,1034.947,,16.947
5,368,1303,753,374,806,,1298.907,,-4.093
6,87,1584,752,93,798,,1562.867,,-21.133
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Meters from cannon,,,,,,,Expected,,Residuals
0,1671,,751,1677,796,,-20.893,,-20.893
1,1426,,757,1432,789,,243.067,,243.067
2,1176,,756,1182,789,,507.027,,507.027
3,919,,756,925,800,,770.987,,770.987
4,653,,754,659,805,,1034.947,,1034.947
5,368,,753,374,806,,1298.907,,1298.907
6,87,,752,93,798,,1562.867,,1562.867
